Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
50287,0.74099,0.73913,0.626016,0.262591,0.25,0.169591
49378,0.652842,0.754386,0.652893,0.242361,0.360544,0.257862
49208,0.719839,0.769912,0.652893,0.265966,0.369863,0.212121
47670,0.710431,0.73913,0.709402,0.279595,0.360544,0.290323
47990,0.730733,0.709402,0.680672,0.279958,0.25,0.242236
52802,0.691521,0.694915,0.6,0.241805,0.234568,0.176471
49813,0.68454,0.639344,0.639344,0.264221,0.257862,0.257862
49253,0.684687,0.666667,0.639344,0.263728,0.273885,0.282051
50790,0.696248,0.724138,0.626016,0.24996,0.25,0.25
50268,0.676121,0.694915,0.639344,0.24529,0.234568,0.219512
47831,0.716026,0.785714,0.724138,0.27249,0.333333,0.30719
50712,0.681728,0.73913,0.666667,0.254601,0.242236,0.234568
48911,0.693153,0.709402,0.652893,0.255891,0.273885,0.204819
49909,0.697475,0.709402,0.680672,0.25893,0.265823,0.257862
47307,0.699636,0.754386,0.680672,0.278507,0.37931,0.290323
49181,0.719902,0.754386,0.680672,0.259643,0.273885,0.25
47176,0.716847,0.754386,0.652893,0.284913,0.388889,0.242236
50850,0.68572,0.724138,0.639344,0.245724,0.315789,0.212121
49930,0.73296,0.754386,0.666667,0.237517,0.282051,0.219512
48612,0.730521,0.680672,0.680672,0.290783,0.257862,0.273885
49661,0.719319,0.754386,0.666667,0.283707,0.360544,0.315789
47097,0.709219,0.73913,0.639344,0.286047,0.342282,0.273885
47719,0.730461,0.73913,0.652893,0.28524,0.315789,0.234568
49350,0.706622,0.724138,0.652893,0.265016,0.282051,0.315789
48072,0.685676,0.709402,0.680672,0.254007,0.265823,0.282051
47535,0.719469,0.769912,0.694915,0.295166,0.360544,0.342282
48396,0.680566,0.724138,0.639344,0.271805,0.351351,0.257862
49518,0.721787,0.709402,0.680672,0.272184,0.298701,0.298701
49428,0.723528,0.73913,0.724138,0.262313,0.265823,0.30719
49742,0.718285,0.709402,0.666667,0.257301,0.242236,0.273885
49971,0.730716,0.73913,0.612903,0.282287,0.265823,0.290323
49078,0.720479,0.73913,0.666667,0.275824,0.342282,0.265823
53096,0.640312,0.626016,0.538462,0.233904,0.265823,0.197605
50104,0.688938,0.724138,0.612903,0.236081,0.290323,0.234568
47986,0.738007,0.754386,0.680672,0.290844,0.298701,0.25
49007,0.711815,0.769912,0.626016,0.28512,0.351351,0.257862
47908,0.694731,0.709402,0.680672,0.270464,0.30719,0.315789
47188,0.728871,0.754386,0.652893,0.293123,0.315789,0.257862
48987,0.683185,0.694915,0.639344,0.245682,0.257862,0.226994
49154,0.717026,0.754386,0.652893,0.276739,0.30719,0.265823
48668,0.711601,0.754386,0.680672,0.267401,0.333333,0.242236
47294,0.714725,0.754386,0.724138,0.290459,0.298701,0.342282
49705,0.709694,0.680672,0.639344,0.26227,0.242236,0.242236
49711,0.709297,0.754386,0.639344,0.247398,0.257862,0.242236
48824,0.693778,0.724138,0.639344,0.279131,0.369863,0.265823
50230,0.688062,0.694915,0.639344,0.265942,0.219512,0.25
48423,0.721539,0.801802,0.694915,0.271591,0.360544,0.298701
48635,0.685717,0.785714,0.694915,0.263605,0.449275,0.324503
50043,0.687815,0.680672,0.639344,0.260264,0.290323,0.226994
46653,0.716973,0.801802,0.680672,0.296324,0.428571,0.333333
48680,0.712273,0.769912,0.709402,0.279943,0.342282,0.298701
49113,0.719574,0.769912,0.666667,0.260198,0.315789,0.204819
49545,0.726104,0.754386,0.694915,0.281291,0.333333,0.257862
48481,0.717121,0.769912,0.709402,0.274589,0.360544,0.282051
