Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
72948,0.780664,0.818182,0.769912,0.304246,0.342282,0.290323
74295,0.781467,0.801802,0.769912,0.288336,0.30719,0.315789
75402,0.741267,0.724138,0.666667,0.291876,0.282051,0.282051
75311,0.787624,0.769912,0.724138,0.286699,0.290323,0.282051
73573,0.788539,0.785714,0.724138,0.315017,0.351351,0.342282
72827,0.787772,0.834862,0.754386,0.297135,0.342282,0.25
74043,0.809434,0.754386,0.724138,0.304757,0.282051,0.30719
74556,0.80547,0.754386,0.709402,0.30791,0.30719,0.282051
73831,0.796843,0.769912,0.709402,0.308705,0.324503,0.351351
75845,0.783992,0.73913,0.709402,0.299641,0.265823,0.342282
74141,0.761666,0.769912,0.785714,0.272457,0.282051,0.298701
75414,0.780023,0.818182,0.709402,0.301971,0.369863,0.282051
74532,0.790015,0.785714,0.73913,0.288548,0.298701,0.30719
74986,0.777233,0.754386,0.709402,0.329313,0.315789,0.282051
74310,0.807019,0.769912,0.73913,0.287501,0.242236,0.265823
74661,0.768534,0.724138,0.724138,0.301953,0.342282,0.342282
72175,0.807053,0.785714,0.73913,0.329374,0.30719,0.315789
77143,0.771387,0.694915,0.666667,0.282706,0.242236,0.265823
72998,0.783941,0.801802,0.769912,0.321131,0.333333,0.351351
74092,0.789343,0.818182,0.785714,0.298973,0.257862,0.30719
74106,0.758936,0.754386,0.709402,0.302415,0.265823,0.315789
73653,0.767706,0.851852,0.801802,0.289948,0.282051,0.342282
74732,0.771843,0.73913,0.73913,0.292174,0.265823,0.290323
74218,0.77399,0.73913,0.694915,0.298875,0.333333,0.30719
75858,0.766224,0.724138,0.694915,0.288409,0.257862,0.282051
73785,0.792854,0.834862,0.801802,0.298188,0.351351,0.333333
74297,0.786138,0.754386,0.724138,0.309497,0.290323,0.30719
74330,0.779143,0.754386,0.754386,0.306501,0.257862,0.369863
74938,0.760702,0.834862,0.754386,0.290218,0.351351,0.324503
76093,0.764788,0.73913,0.724138,0.306768,0.273885,0.242236
72006,0.795686,0.834862,0.785714,0.324025,0.37931,0.315789
74165,0.811303,0.818182,0.73913,0.31509,0.324503,0.324503
73845,0.802892,0.769912,0.769912,0.305563,0.333333,0.388889
74995,0.780952,0.769912,0.724138,0.284529,0.298701,0.30719
73859,0.777564,0.801802,0.754386,0.296436,0.37931,0.315789
72790,0.797775,0.801802,0.785714,0.310086,0.315789,0.342282
73405,0.77589,0.769912,0.724138,0.31198,0.324503,0.298701
74079,0.779457,0.754386,0.724138,0.302918,0.324503,0.324503
73302,0.808158,0.851852,0.785714,0.313747,0.37931,0.333333
76047,0.776066,0.73913,0.709402,0.287323,0.265823,0.273885
75906,0.73959,0.785714,0.73913,0.271048,0.265823,0.30719
76109,0.769789,0.709402,0.709402,0.275947,0.219512,0.242236
76649,0.746032,0.694915,0.680672,0.284324,0.273885,0.257862
74419,0.802035,0.754386,0.724138,0.303427,0.273885,0.290323
72836,0.785872,0.851852,0.769912,0.332788,0.388889,0.408451
73724,0.777347,0.834862,0.769912,0.280538,0.333333,0.290323
75300,0.769393,0.834862,0.769912,0.27971,0.342282,0.315789
72930,0.776432,0.769912,0.785714,0.294952,0.342282,0.369863
74122,0.805801,0.785714,0.73913,0.309653,0.257862,0.242236
74800,0.787091,0.785714,0.709402,0.291324,0.290323,0.234568
77437,0.766296,0.73913,0.680672,0.28398,0.273885,0.290323
73354,0.786565,0.818182,0.754386,0.317359,0.333333,0.298701
74592,0.793158,0.785714,0.724138,0.30177,0.290323,0.25
72767,0.765038,0.834862,0.801802,0.310336,0.351351,0.37931
74837,0.78959,0.724138,0.680672,0.308331,0.265823,0.234568
75948,0.743956,0.73913,0.709402,0.284975,0.265823,0.290323
73365,0.777506,0.834862,0.754386,0.294509,0.408451,0.342282
73736,0.791777,0.769912,0.724138,0.314614,0.315789,0.333333
